review_id,customer_id,product,rating,review_text,review_date
REV_0000001,CUST_00001,Portable Charger,4,Impressive quality and fast shipping. The design is sleek and modern. Couldn't be happier.,2023-07-11
REV_0000002,CUST_00001,Water Bottle,4,Best purchase I've made this year. Better than the more expensive alternatives. Worth every penny.,2023-05-01
REV_0000003,CUST_00002,Portable Charger,4,Great quality for the price. Easy to set up and use. Very satisfied with my purchase.,2024-02-22
REV_0000004,CUST_00002,Phone Case,5,Great quality for the price. The design is sleek and modern. Very satisfied with my purchase.,2024-08-11
REV_0000005,CUST_00003,Sunglasses,5,Best purchase I've made this year. Customer support was super helpful. Worth every penny.,2024-12-14
REV_0000006,CUST_00003,Portable Charger,4,Impressive quality and fast shipping. The design is sleek and modern. Couldn't be happier.,2024-05-19
REV_0000007,CUST_00004,Backpack,2,"Poor quality product. It stopped working after just a few uses. Waste of money, returning immediately.",2023-11-16
REV_0000008,CUST_00005,Kitchen Scale,2,Hugely disappointing. The stitching came apart immediately. The product photos are misleading.,2023-06-01
REV_0000009,CUST_00005,Bluetooth Speaker,3,Average quality. Took a while to arrive. Serves its purpose but could be improved.,2024-01-29
REV_0000010,CUST_00005,Yoga Mat,2,Very disappointed with this purchase. It stopped working after just a few uses. Would not recommend.,2024-07-08
REV_0000011,CUST_00006,Desk Lamp,4,"Amazing product, amazing service. Better than the more expensive alternatives. Keep up the great work!",2024-04-04
REV_0000012,CUST_00006,Backpack,5,Absolutely love this product! The material feels premium. Would definitely recommend to friends and family.,2024-06-01
REV_0000013,CUST_00006,Portable Charger,5,Absolutely love this product! Easy to set up and use. Would definitely recommend to friends and family.,2024-10-06
REV_0000014,CUST_00006,Water Bottle,5,This is my third purchase and it never disappoints. Easy to set up and use. Loyal customer here!,2024-05-18
REV_0000015,CUST_00006,Wireless Headphones,3,Decent product overall. The packaging was nice at least. Not bad but nothing special either.,2024-08-22
REV_0000016,CUST_00007,Kitchen Scale,4,Exceeded my expectations! My whole family loves it. Will be buying again soon.,2023-05-26
REV_0000017,CUST_00008,Portable Charger,3,It's okay for what you pay. The packaging was nice at least. Might look for alternatives next time.,2024-07-25
REV_0000018,CUST_00008,Coffee Maker,3,Solid enough product. Instructions could be clearer. No major complaints but room for improvement.,2023-12-20
REV_0000019,CUST_00008,Yoga Mat,5,"Amazing product, amazing service. The material feels premium. Keep up the great work!",2024-08-16
REV_0000020,CUST_00009,Backpack,3,Decent product overall. Took a while to arrive. Not bad but nothing special either.,2024-10-30
REV_0000021,CUST_00010,Phone Case,5,Great quality for the price. Customer support was super helpful. Very satisfied with my purchase.,2023-04-13
REV_0000022,CUST_00010,Notebook Set,4,Absolutely love this product! Arrived earlier than expected. Would definitely recommend to friends and family.,2023-08-17
REV_0000023,CUST_00011,Desk Lamp,4,Great quality for the price. Better than the more expensive alternatives. Very satisfied with my purchase.,2023-10-25
REV_0000024,CUST_00011,Phone Case,3,"Mixed feelings about this one. Took a while to arrive. Some good aspects, some not so much.",2023-08-08
REV_0000025,CUST_00011,Water Bottle,4,This is my third purchase and it never disappoints. Customer support was super helpful. Loyal customer here!,2023-11-11
REV_0000026,CUST_00011,Portable Charger,4,Perfect! Exactly what I was looking for. The material feels premium. Five stars all the way.,2024-08-12
REV_0000027,CUST_00012,Water Bottle,3,Solid enough product. Size runs a bit small. No major complaints but room for improvement.,2024-11-22
REV_0000028,CUST_00012,Water Bottle,4,Absolutely love this product! Better than the more expensive alternatives. Would definitely recommend to friends and family.,2024-07-26
REV_0000029,CUST_00012,Water Bottle,4,Exceeded my expectations! Easy to set up and use. Will be buying again soon.,2024-06-09
REV_0000030,CUST_00012,Running Shoes,5,Impressive quality and fast shipping. My whole family loves it. Couldn't be happier.,2024-03-11
REV_0000031,CUST_00012,Yoga Mat,3,Solid enough product. The color was slightly different from the photo. No major complaints but room for improvement.,2024-06-10
REV_0000032,CUST_00016,Water Bottle,4,Impressive quality and fast shipping. Better than the more expensive alternatives. Couldn't be happier.,2024-02-16
REV_0000033,CUST_00016,Phone Case,3,It's okay for what you pay. The packaging was nice at least. Might look for alternatives next time.,2024-11-16
REV_0000034,CUST_00017,Coffee Maker,3,It's okay for what you pay. Took a while to arrive. Might look for alternatives next time.,2024-06-01
REV_0000035,CUST_00017,Laptop Stand,4,Perfect! Exactly what I was looking for. Easy to set up and use. Five stars all the way.,2024-12-03
REV_0000036,CUST_00017,Wireless Headphones,4,Exceeded my expectations! Arrived earlier than expected. Will be buying again soon.,2024-07-04
REV_0000037,CUST_00018,Coffee Maker,1,"Poor quality product. It stopped working after just a few uses. Waste of money, returning immediately.",2024-11-26
REV_0000038,CUST_00018,Coffee Maker,3,Solid enough product. The packaging was nice at least. No major complaints but room for improvement.,2024-06-21
REV_0000039,CUST_00018,Running Shoes,3,Average quality. The color was slightly different from the photo. Serves its purpose but could be improved.,2024-12-18
REV_0000040,CUST_00019,Kitchen Scale,1,"Broke after a week of use. The material feels cheap and flimsy. Cheaply made, avoid this product.",2024-12-31
REV_0000041,CUST_00019,Water Bottle,3,Decent product overall. The color was slightly different from the photo. Not bad but nothing special either.,2023-08-24
REV_0000042,CUST_00019,Running Shoes,3,Does the job but It works but feels flimsy. Expected a bit more for the price.,2024-01-25
